ship_mmsi,start_port,end_port
OFFYARAKK,AEABU,AEJAL
OFFFGGCKK,AEABU,SADMA
OAROYCONK,AEFUJ,AEABU
RFCCNAKKK,AEFUJ,AEZUR
OARACAKKK,AEFUJ,AEZUR
OAOCAOKKK,AEFUJ,JPCBA
OFFSNKGKK,AEFUJ,JPKII
OFFGSGAKK,AEFUJ,JPOIT
OAOFCSKKK,AEFUJ,KEMOM
OFFAKSCKK,AEFUJ,KRGWA
OAOOFGKKK,AEFUJ,MY3176
OAOCARKKK,AEFUJ,OMMAF
OFFSNKGKK,AEFUJ,SAJUT
OFFNYNNKK,AEFUJ,SAJUT
NGGAFNKKK,AEFUJ,TWMAI
OFFROKOKK,AEHAM,BHBAH
OFFYARAKK,AEJAL,AEABU
OAROFAYFK,AEJAL,AEABU
OARARRKKK,AEJAL,AEKHA
OFFNYSOKK,AEJAL,AEKHA
OFFNYSOKK,AEJAL,AEKHA
OFFFACOKK,AEJAL,AEKHA
OFFNYSOKK,AEJAL,AEKHA
OARKGRKKK,AEJAL,AEKHA
OFFFACOKK,AEJAL,AEKHA
OFFRKSAKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFRKSAKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFFACSKK,AEJAL,AEKHA
OFFAGSYKK,AEJAL,AEKHA
OFFRKSAKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFAGSYKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OARARRKKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFCFOOKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFAKKRKK,AEJAL,AEKHA
OFFCFOOKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFAKKRKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OFFRKCYKK,AEJAL,AEKHA
OFFRKCYKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OFFGNCRKK,AEJAL,AEKHA
OFFRKCYKK,AEJAL,AEKHA
OFFRKCYKK,AEJAL,AEKHA
OFFOCFNKK,AEJAL,AEKHA
RNGFYAKKK,AEJAL,BRTUB
OARKGNKKK,AEJAL,CNNBO
OFFKFFSKK,AEJAL,CNNSA
OAROYKOAK,AEJAL,INMUN
OARARRKKK,AEJAL,INNSA
OARARRKKK,AEJAL,INNSA
OARKGOKKK,AEJAL,INNSA
OARARRKKK,AEJAL,INNSA
OAROFSCRK,AEJAL,KWMAA
OFFOFGSKK,AEJAL,MYPKE
OFFGOAYKK,AEJAL,OMSOH
OAROYCONK,AEJAL,OMSOH
OFFCSCYKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARKGOKKK,AEJAL,PKKAR
OARKGKKKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARKGKKKK,AEJAL,PKKAR
OFFOCFNKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARKGOKKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARKGKKKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARARSKKK,AEJAL,PKKAR
OFFGRSSKK,AEJAL,PKKAR
OARARRKKK,AEJAL,PKQAS
OFFANSFKK,AEJAL,QAHMD
OFFCSCYKK,AEJAL,QAHMD
OFFANSFKK,AEJAL,QAHMD
OFFANSFKK,AEJAL,QAHMD
OFFNYSOKK,AEJAL,QAHMD
OFFCSCYKK,AEJAL,QAHMD
OARARRKKK,AEJAL,QAHMD
OAOFOAKKK,AEJAL,QARAS
NGNAKAKKK,AEJAL,QAUMS
OFFGNCRKK,AEJAL,SADMA
OAROFAYFK,AEJAL,SADMA
OFFAGSYKK,AEJAL,SADMA
OFFCSCYKK,AEJAL,SADMA
OFFRKSAKK,AEJAL,SADMA
OFFRONYKK,AEJAL,SADMA
OFFRONYKK,AEJAL,SADMA
OFFSNKOKK,AEJAL,SADMA
OFFRKSAKK,AEJAL,SADMA
OFFANSFKK,AEJAL,SAJED
OFFCSCYKK,AEJAL,SAJED
OARKGOKKK,AEJAL,SAJED
